Session 1,10:00 AM  - 12:00 noon,Chair: TBD
9:00-9:30 am,Welcoming Remarks and Workshop Goals,Workshop Chairs
9:30-10:00 am,Towards Reproducible Research in a Biomedical Collaboration Platform following the FAIR Guiding Principles.,"Christoph Jansen, Maximilian Beier (Charité Berlin, CBMI – HTW Berlin); Michael Witt (Karlsruhe Institute of Technology); Sonja Frey, Dagmar Krefting (CBMI – HTW Berlin)."
