Session 5,Deep Learning,"Chair: Ivan Rodero, Rugters University, USA"
2:00-2:30 pm,Modeling and Analysis of a Deep Learning Pipeline for Cloud based Video Analytics,Muhammad Usman Yaseen (University of Derby); Ashiq Anjum (University of Derby); Nik Antonopoulos (University of Derby)
2:30-3:00 pm,Glowworm Swarm Optimisation for Training Multi-Layer Perceptrons,Dabiah Alboaneen (Glasgow Caledonian University); Huaglory Tianfield (Glasgow Caledonian University); Yan Zhang (Glasgow Caledonian University)
