Session 9,Data Mining,"Chair: Mohsen Farid, University of Derby, UK"
3:30-4:00 pm,Automatic Mining of Multi-granularity Temporal Regularity from Trajectory Data,Siyuan Huang (WHUT); Rui Zhang (WHUT); Nuofei Li (WHUT); Jiming Guo (WHUT); Hongbo Jiang (HUST)
4:00-4:30 PM,Second-Order Destination Inference using Semi-Supervised Self-Training for Entry-Only Passenger Data,Rongye Shi (Carnegie Mellon University); Peter Steenkiste (Carnegie Mellon University); Manuela Veloso (Carnegie Mellon University)
