Session 2,Storage and Operating Systems,"Chair: Xinghui Zhao, Washington State University, USA"
2:00-2:30 pm,Candidate MDS Array Codes for Tolerating Three Disk Failures in RAID-7 Architectures,Mayur Punekar (Qatar University); Qutaibah Malluhi (Qatar University); Yongee Wang (University of North Carolina  Charlotte); Yvo Desmedt (The University of Texas at Dallas)
2:30-3:00 pm,An Imputation-based Augmented Anomaly Detection from Large Traces of Operating System Events,Mellitus Ezeme (UOIT); Akramul Azim (UOIT); Qusay Mahmoud (UOIT)
