Session 2,Multi-Cloud Environments and Data Dissemination,"Chair: Yanfei Guo, Argonne National Laboratory, USA"
2:00-2:30,LambdaLink: an Operation Management Platform for Multi-Cloud Environments,"Kate Keahey, Pierre Riteau and Nicholas P. Timkovich"
2:30-3:00,Secure and privacy-aware data dissemination for cloud-based applications,"Lilia Sampaio, Fábio Silva, Amanda Souza, Andrey Brito and Pascal Felber"
