Session 5,3:30-5:00 pm,"Chair: Yong Chen, Texas Tech University, USA"
3:30-5:00 pm,"Panel: Adopting Modern Tools for Automation, Analytics, and Control in Data Centers","Kate Keahey, Argonne National Laboratory; Tim Cockerill, Texas Advanced Computing Center; Jon Hass, Dell Inc.; Jeff Hilland, DMTF; Richelle Ahlvers, Broadcom Limited"
5:00-5:30 pm,Closing Remarks,DAAC General Chairs