Session 6,Containerized Environments and Applications,"Chair: Ashiq Anjum, University of Derby, UK"
3:30-4:00,Is Singularity-based Container Technology Ready for Running MPI Applications on HPC Clouds?,"Jie Zhang, Xiaoyi Lu and Dhabaleswar Panda"
4:00-4:30,A Crop Water Stress Monitoring System Utilising a Hybrid e-Infrastructure,"Gaojie Sun, Hongzhen Xie and Richard Sinnott"
4:30-5:00,Integrating Continuous Security Assessments in Microservices and Cloud Native Applications,"Kennedy A Torkura, Muhammad Ihsan Haikal Sukmana and Christoph Meinel"
