3:30-4:00 pm,Key Selection for Multilevel Indices of Large-scale Service Repositories,"Wen Kuang, Yan Wu and Lu Liu"
4:00-4:30 pm,Pushing Data Privacy Control to the Edge in IoT Using Policy Enforcement Fog Module,Abduljaleel Al-Hasnawi and Leszek Lilien
4:30-5:00 pm,Towards Automated Enforcement of Cloud SLA,Farrukh Qazi; Arshad Jhumak; Paul Ezhilchelvan
5:00-5:30 pm,A Big Data Architecture for Near Real-time Traffic Analytics,"Yikai Gong, Paul Rimba, Richard O. Sinnott"
