Session 7,Big Data Computing Frameworks,"Chair: Ashiq Anjum, University of Derby, UK"
10:30-11:00 am,Victream: Computing Framework for Out-of-Core Processing on Multiple GPUs,Jun Suzuki (NEC Corporation); Yuki Hayashi (NEC Corporation); Masaki Kan (NEC Corporation); Shinya Miyakawa (NEC Corporation); Takashi Takenaka (NEC Corporation); Takuya Araki (NEC Corporation); Masaru Kitsuregawa (The University of Tokyo)
11:00-11:30 am,Genomics Analyser: A Big Data Framework for Analysing Genomics Data,Tariq Abdullah (University of Derby);  Ahmed Ahmed (University of Derby)
11:30 am-12 noon,Understanding Behavior Trends of Big Data Frameworks in Ongoing Software-Defined Cyber-Infrastructure,Shouwei Chen (Rutgers University); Ivan Rodero (Rutgers University)
