Session 1,Big Data Stream Processing,"Chair: Ashiq Anjum, University of Derby, UK"
10:30-11:00 am,Characterization of Big Data Stream Processing Pipeline: A Case Study using Flink and Kafka,M. Haseeb Javed (The Ohio State University); Xiaoyi Lu (The Ohio State University); Dhabaleswar Panda (The Ohio State University)
11:00-11:30 am,PopUp-Cubing: An algorithm to efficiently use iceberg cubes in data streams,Felix Heine (Hochschule Hannover University of Applied Sciences and Arts);  Marius Rohde (Hochschule Hannover University of Applied Sciences and Arts)
11:30 am-12 noon,Priority Based Resource Scheduling Techniques for a Resource Constrained Stream Processing System,Rudraneel Chakraborty (Carleton University); Shikharesh Majumdar (Carleton University)
