Session 4,3:30 - 5:30 pm,Chair: TBD
3:30-4:00 pm,Determining an Optimal Mix of Hybrid Cloud Computing for Enterprises,In Lee (Western Illinois University)
4:00-4:30 pm,Mechanisms for Mutual Attested Microservice Communication.,Kevin Walsh (College of the Holy Cross); John Manferdelli (Northeastern University).
4:30-5:00 pm,Cloud Robotics: SLAM and autonomous exploration on PaaS.,"Giovanni Toffetti,  Tobias Lötscher, Saken Kenzhegulov, Josef Spillner, Thomas Michael Bohnert (Zurich University of Applied Sciences); Dhananjay Sathe, Vivek Bagade, Bharat Khatri, Alankrita Pathak (Rapyuta Robotics)."
5:00-5:30 pm,Exploiting price and performance tradeoffs in heterogeneous clouds.,"Eduardo Roloff, Matthias Diener, Emmanuell Diaz Carreño, Francis Moreira, Luciano Paschoal Gaspary, Philippe Navaux (Federal University of Rio Grande do Sul). "
