Session 5,Edge Computing and Edge Cloud,"Chair: Tim Cockerill, University of Texas at Austin, USA"
2:00-2:30,RT-SANE: Real Time Security Aware Scheduling on the Network Edge,"Anil Singh, Nitin Auluck, Omer Rana, Andrew Jones and Surya Nepal"
2:30-3:00,Locality-Aware Load Sharing in Mobile Cloud Computing,"Albert Jonathan, Abhishek Chandra and Jon Weissman"
