Session 4,Data Center Automation Theory and Practice,"Chair: Alan Sill, Texas Tech University, USA"
1:00-1:40 pm,Redfish Overview,Jeff Hilland
1:40-2:20 pm,Swordfish Overview,Richelle Ahlvers
2:20-3:00 pm,Redfish DCIM Management Overview,Jon Hass
