3:40-4:00 pm,A Multi-layered Cloud Protection Framework,Khan
4:00-4:20 pm,Increasing the Dependability of IoT Middleware with Cloud Computing and Microservices,Martins
4:20-4:40 pm,Microservices: Granularity vs. Performance,Shadija
4:50-5:10 pm,A Cloud-Based Path-finding Framework: Improving the Performance of Real-Time Navigation in Games,Rowe
5:10-5:30 pm,Cloud Multi-Tenancy: Issues and Developments,Odun-Ayo
